client_id,store_id,cashier_id,order_time
833,87,292,2015-02-22 16:15:24
592,101,246,2017-01-25 07:05:49
258,841,876,2016-11-14 08:09:21
133,828,361,2014-03-05 04:28:24
251,733,777,2018-10-24 11:50:33
322,340,413,2019-05-18 18:46:45
57,563,601,2015-07-01 23:27:45
102,309,940,2018-11-22 16:45:01
83,633,557,2019-10-15 04:16:00
787,355,604,2014-01-12 21:44:11
670,559,413,2014-08-11 04:55:19
177,450,428,2017-07-20 04:18:39
385,485,14,2015-10-22 00:03:53
935,646,904,2019-05-04 13:25:42
366,363,9,2013-12-18 21:50:58
339,891,946,2013-03-21 03:00:11
266,993,87,2019-05-26 02:41:22
376,873,950,2014-03-18 22:07:46
932,577,430,2014-02-26 23:48:31
413,504,155,2016-02-01 10:59:45
845,415,54,2017-07-17 15:07:14
887,347,727,2017-08-07 13:54:06
253,689,617,2014-04-18 21:24:32
198,244,311,2017-02-18 04:35:50
287,554,939,2018-11-04 08:42:56
252,106,774,2013-05-02 01:56:14
555,145,624,2014-11-18 20:22:17
136,439,91,2019-01-26 20:46:53
459,218,540,2014-12-01 13:44:54
493,975,978,2013-12-05 05:44:41
459,539,217,2018-12-24 23:03:24
729,962,292,2015-09-17 11:05:33
373,987,601,2017-03-19 03:40:11
812,910,663,2015-12-06 04:06:33
629,444,674,2013-01-25 01:12:41
165,723,525,2018-08-21 06:54:12
886,619,873,2018-01-27 20:32:16
77,921,61,2013-11-10 22:58:49
518,103,917,2013-09-02 02:29:14
217,581,748,2016-04-29 07:34:15
303,395,604,2016-05-24 14:45:40
564,773,28,2013-05-05 23:52:00
828,223,955,2015-10-30 09:09:26
251,561,234,2016-10-17 14:33:12
661,634,102,2014-07-04 16:19:56
435,894,510,2013-03-15 14:10:16
146,806,26,2017-02-23 20:36:58
923,808,873,2013-06-13 19:36:05
320,444,302,2014-06-07 01:29:23
463,915,430,2017-04-06 16:15:17
155,530,311,2016-05-22 08:24:29
311,409,14,2015-05-20 09:25:28
985,916,361,2016-11-30 02:59:43
33,538,876,2015-10-06 20:21:28
173,551,673,2014-10-01 19:18:58
240,615,811,2019-09-20 07:43:31
156,738,674,2013-05-30 23:46:44
640,41,421,2014-12-15 17:24:41
813,753,846,2018-09-11 04:24:00
665,342,155,2017-10-28 12:50:01
527,958,19,2017-09-17 03:24:13
335,786,221,2018-06-07 21:34:28
525,72,87,2018-09-28 07:08:26
516,358,91,2018-05-03 05:36:49
957,675,121,2019-03-19 23:18:40
835,145,581,2019-08-30 01:15:28
233,908,604,2014-10-24 13:42:02
926,575,559,2017-01-19 02:01:21
629,713,901,2018-04-12 08:00:58
368,162,909,2016-02-15 06:07:09
793,131,557,2016-08-03 03:47:42
874,817,6,2017-03-15 01:21:10
383,79,315,2018-02-17 14:14:52
163,435,674,2019-04-21 17:39:28
586,538,959,2015-03-16 19:15:50
238,795,835,2015-07-13 11:59:24
922,641,31,2018-07-27 23:14:16
326,612,339,2013-01-15 14:57:10
950,206,669,2018-01-19 19:11:31
619,956,221,2014-11-30 19:42:33
436,469,196,2013-01-30 18:53:45
891,197,305,2017-12-18 08:01:39
973,9,39,2013-10-08 23:03:42
869,850,80,2016-11-03 18:25:29
291,13,880,2013-05-07 19:16:33
468,712,883,2019-08-08 07:22:09
659,654,81,2013-06-10 07:49:44
741,73,230,2013-11-16 19:02:45
228,691,606,2016-10-17 08:52:17
941,963,280,2017-07-23 13:29:38
308,361,265,2018-11-26 06:28:31
510,443,978,2016-07-02 08:22:24
438,711,430,2016-05-29 07:17:50
783,782,61,2018-12-28 15:53:48
212,306,745,2014-11-15 08:49:13
407,933,835,2017-10-11 20:39:26
482,380,606,2014-03-24 17:10:11
10,939,909,2017-06-25 16:36:47
526,287,91,2014-11-07 03:20:49
565,565,558,2015-04-16 05:24:56
855,826,774,2016-10-20 06:54:05
103,406,864,2017-05-09 20:20:14
609,669,85,2016-11-18 20:56:29
423,553,280,2019-10-14 03:55:21
26,48,505,2015-09-05 21:24:14
200,872,84,2013-08-24 04:03:14
711,583,606,2013-07-31 14:44:17
893,13,54,2015-09-04 21:53:52
433,17,204,2015-09-13 15:54:19
110,250,604,2017-03-21 15:50:10
330,383,552,2017-09-11 11:56:27
645,757,550,2018-10-02 13:11:08
986,597,950,2017-09-06 00:18:44
686,909,292,2017-09-25 13:42:14
943,132,559,2018-02-28 00:51:43
