order_id,product_id,amount
2079,493,1
1177,175,1
4205,456,8
3469,40,9
2605,636,10
1006,13,1
3635,694,1
2187,319,1
4023,329,1
1937,897,5
3368,205,9
3114,150,1
4217,703,10
4421,475,8
2226,763,5
4355,801,1
800,76,1
4175,812,3
826,860,10
4728,150,1
584,570,9
2995,43,1
2791,118,1
1233,276,8
2540,468,5
4614,893,9
639,440,1
3077,305,1
4935,240,1
4733,823,5
4415,163,6
2269,876,2
4063,108,1
659,52,3
3775,352,1
1275,527,10
132,106,4
1048,719,6
2442,429,1
1734,194,1
1573,300,1
2157,977,7
254,633,1
4364,10,1
4754,815,1
3087,178,8
3081,215,9
1312,11,1
2073,523,1
1240,573,1
2701,911,4
1844,927,10
2015,816,1
4352,297,1
3945,738,1
4153,930,6
19,130,1
964,102,5
892,773,1
2930,516,1
1745,97,5
2655,710,1
2483,670,1
3380,116,3
2081,135,2
2516,416,1
1541,451,1
2751,265,4
4517,994,7
4616,263,1
2562,476,1
3269,521,1
1901,489,10
3841,277,5
2612,897,4
4935,343,1
3,211,8
4065,493,1
3294,486,8
1053,112,1
4040,509,2
163,941,1
1997,452,7
2034,623,1
1311,989,1
222,924,1
4334,656,2
2645,68,1
1584,287,1
4405,691,10
2412,570,4
488,830,1
3285,158,1
2910,439,1
4160,731,2
429,196,9
2312,913,1
1055,152,4
4042,57,1
3291,724,3
2962,991,1
2480,825,10
3819,14,2
3346,62,1
274,609,1
3529,831,1
2658,579,1
3999,72,1
1088,350,8
2248,334,1
1253,393,1
754,803,1
2225,805,5
4956,799,1
3191,792,1
2014,9,6
3630,561,8
999,258,5
4809,260,4
4091,31,1
3924,997,5
1279,397,5
3905,949,1
937,642,1
3121,696,1
2240,529,1
2667,489,9
2639,811,1
2363,441,7
3141,461,3
2244,531,1
2335,130,2
3104,816,1
4449,300,9
2577,926,1
4276,270,1
4817,462,10
2532,84,9
1463,861,1
2663,263,1
2996,355,1
4284,580,1
4717,862,9
966,126,1
2230,343,8
3176,361,1
1272,459,1
2988,977,1
1140,938,1
4913,920,1
4757,569,1
1114,286,2
1583,779,1
1929,953,1
633,160,3
3073,126,1
4,900,1
4200,335,1
4758,807,4
4211,629,9
935,424,1
86,173,4
750,281,6
2269,800,9
1127,158,3
2691,276,1
4218,607,1
143,872,6
2545,114,1
2224,582,1
3031,862,1
4674,174,1
287,640,1
4153,627,4
2859,839,3
3849,411,1
2059,715,2
1703,738,9
971,340,5
65,963,1
1311,813,1
2417,502,1
2600,30,8
2242,13,1
2321,902,1
4955,250,1
1274,272,7
1864,970,8
1424,451,1
2707,133,1
2592,915,3
388,482,2
1434,895,8
2365,997,10
3107,285,3
3864,851,3
4601,658,10
4054,831,1
3019,281,2
2783,78,1
3709,295,9
1589,592,1
2033,75,2
505,589,8
1786,210,4
1328,206,10
4734,852,9
1482,652,1
1012,661,1
1133,936,1
3106,979,1
2241,850,1
3235,120,6
4925,212,2
3064,481,7
3652,481,1
1249,689,2
4832,736,9
2917,948,10
2405,458,1
1417,147,1
1471,318,1
4042,953,1
4143,408,6
359,478,6
275,813,9
1352,317,1
3119,541,1
607,920,1
3939,388,1
1675,197,1
1071,303,1
2034,35,1
3029,343,1
369,77,1
4022,568,1
4561,116,7
4370,477,1
1213,394,1
3619,943,10
2345,213,5
1328,23,1
150,179,7
2546,753,1
242,815,4
1535,131,6
1724,915,1
4822,496,10
3770,278,1
4773,387,1
634,560,7
4041,532,1
528,745,7
3241,917,3
2180,705,1
4737,861,8
694,479,1
4423,769,9
1247,691,1
4875,120,1
2819,877,1
819,695,4
4171,228,1
4536,768,3
1660,108,2
1379,135,4
4491,444,1
1226,645,1
3663,194,1
4806,130,1
1614,287,6
4036,592,10
4535,443,9
1239,866,2
3814,625,9
3809,308,1
4430,719,9
2833,214,2
310,889,4
3627,83,9
239,776,6
626,272,1
4586,158,9
804,227,1
1348,230,1
4115,990,1
4586,867,1
4188,828,1
329,680,1
3864,577,1
1630,259,5
2530,587,1
4996,743,1
864,414,10
154,656,1
1876,46,8
2685,852,1
481,688,1
1471,615,1
2785,769,1
2661,502,9
921,707,1
3906,483,7
3901,773,6
558,903,5
2772,33,3
3825,452,1
2896,295,2
1594,488,9
1213,36,1
773,816,8
2188,952,1
832,137,7
4521,559,2
2036,966,1
4912,48,6
3631,444,1
3218,90,5
1471,64,1
3888,656,10
138,407,1
1923,756,1
3049,834,9
1956,133,1
3995,160,6
4986,625,1
987,886,10
1497,743,1
129,636,6
3870,515,1
3140,231,8
4322,532,10
1147,762,3
4695,940,6
3556,251,1
2022,470,7
4223,840,1
4596,268,9
1143,45,7
3401,826,1
3566,219,1
1222,738,1
1567,90,7
2693,880,1
536,376,1
2159,59,4
2860,387,1
3524,541,1
464,817,1
4098,971,4
1067,218,1
