client_id,product_id,store_id,amount,purchase_time
312,379.126.86,517,1,2019-03-28 08:12:23
394,724.215.54,927,2,2018-05-09 19:06:39
964,809.360.69,567,2,2018-03-14 03:46:45
15,336.974.51,395,2,2019-02-12 18:11:10
113,689.627.87,91,2,2016-03-16 16:12:56
2,442.840.10,377,3,2018-06-06 12:12:22
885,417.573.93,347,3,2017-09-06 02:10:42
999,924.167.13,376,2,2018-06-22 14:03:22
737,487.119.30,886,3,2017-12-19 03:33:32
477,781.518.50,92,1,2019-10-01 16:09:13
757,517.345.32,410,3,2017-02-17 18:47:30
895,153.721.63,290,1,2016-12-26 01:24:11
468,433.982.30,640,2,2017-12-17 15:41:50
801,306.181.41,121,1,2017-08-01 21:22:46
457,663.413.71,177,1,2016-10-07 08:24:41
322,638.518.58,903,3,2017-09-15 17:01:23
739,507.989.40,83,3,2019-07-27 03:19:12
172,480.673.36,312,2,2018-08-23 19:29:01
533,753.627.95,280,1,2018-06-11 23:06:23
646,107.918.43,790,1,2017-11-14 14:45:13
938,734.347.24,946,2,2018-12-05 22:43:57
710,206.326.56,773,2,2018-11-04 23:35:19
558,791.332.85,554,3,2018-02-11 22:09:10
263,349.863.49,486,1,2016-07-03 08:50:10
877,827.655.64,367,3,2016-12-13 05:19:42
545,349.863.49,638,2,2018-01-08 23:44:21
328,216.799.25,259,1,2017-06-09 03:57:18
392,568.598.15,903,3,2018-02-11 20:53:10
770,343.942.40,283,3,2017-02-01 05:27:40
244,983.741.71,858,3,2018-08-11 23:41:56
901,630.265.38,938,2,2017-01-06 19:34:39
222,981.820.13,891,1,2019-06-02 14:21:56
104,822.984.21,253,2,2016-09-19 06:41:27
275,888.228.64,908,2,2018-06-04 19:45:58
261,704.665.89,662,3,2017-10-21 04:08:56
330,269.988.40,991,1,2017-03-27 07:59:33
238,952.559.21,590,2,2018-06-17 18:33:26
441,781.518.50,208,2,2019-09-09 18:58:08
324,481.443.87,683,3,2019-06-06 12:48:36
56,803.609.88,229,1,2016-08-13 08:36:56
31,371.943.52,53,1,2016-09-01 15:54:19
502,241.936.36,171,3,2017-06-24 11:10:57
192,905.758.57,314,1,2017-06-20 16:36:26
608,556.152.36,421,1,2018-06-15 01:39:05
679,827.224.91,90,1,2019-11-19 19:45:08
848,111.589.16,700,3,2019-01-07 09:48:58
530,614.123.24,416,1,2017-08-07 14:17:54
363,710.242.33,48,2,2019-06-18 11:10:57
45,275.199.52,655,3,2016-02-02 07:45:43
537,636.186.37,769,3,2016-07-11 17:10:56
239,393.671.15,933,1,2016-12-06 08:08:29
94,886.904.83,457,1,2017-05-27 20:22:01
712,451.591.56,335,1,2017-02-15 16:35:25
536,600.817.80,305,2,2018-11-25 09:44:45
83,974.180.94,768,1,2017-09-04 19:57:40
689,676.305.48,67,2,2016-04-01 04:23:47
290,216.799.25,875,3,2018-09-17 08:29:43
131,377.921.56,797,3,2016-06-02 03:24:50
126,207.146.95,731,3,2017-09-02 16:56:31
304,401.557.85,119,1,2017-01-12 15:18:25
548,557.138.24,600,2,2017-05-16 21:34:13
344,144.785.70,167,1,2017-06-04 09:48:15
693,866.394.33,507,3,2016-07-04 09:57:25
761,665.825.52,812,2,2017-08-28 16:46:03
192,737.464.27,697,2,2017-07-14 22:42:21
394,484.673.23,510,3,2017-08-26 05:46:00
759,543.328.77,353,1,2016-07-10 05:24:19
88,954.360.21,759,1,2016-02-04 21:52:12
755,349.172.76,18,2,2017-09-17 01:14:51
83,363.687.34,908,1,2017-02-21 07:56:06
486,889.205.36,929,3,2016-12-08 00:51:50
936,855.776.60,261,2,2017-09-11 19:37:28
634,555.826.81,743,2,2016-11-18 00:09:34
