city,street,house,postcode
Нарым,ул. Ручейная,д. 70,789500
Усолье Сибирское,ул. Вахитова,д. 94,846248
Курумкан,ул. Подстанция,д. 90,757134
Когалым,ул. Партизанская,д. 88,990701
Ачинск,ул. Гагарина,д. 92,985022
Мураши,ул. 50 лет Победы,д. 37,757768
Орехово-Зуево,ул. Нефтяников,д. 50,294257
Камышлов,ул. Ленская,д. 28,351918
Южно-Сахалинск,ул. Осенняя,д. 03,202023
Тавда,ул. Лесная,д. 21,758847
Гдов,ул. Новая,д. 00,419197
Яшалта,ул. Ильича,д. 67,631866
Белый Яр (Томск.),ул. Сахалинская,д. 31,460895
Балашиха,ул. Советской Армии,д. 41,393943
Белгород,ул. Механическая,д. 35,806887
Видное,ул. Рабочая,д. 92,693497
Светлогорск (Калин.),ул. 1 Мая,д. 19,914908
Уренгой,ул. Менделеева,д. 82,553417
Кропоткин (Краснод.),ул. Коммуны,д. 11,263889
Усть-Джегута,ул. Советов,д. 54,844561
Сосногорск,ул. Сахалинская,д. 31,460895
Белгород,ул. Никитина,д. 51,689598
Хабаровск,ул. Школьная,д. 01,145153
Дно,ул. Стахановская,д. 70,785282
Эльтон,ул. Смирнова,д. 24,536015
Йошкар-Ола,ул. Лесозаводская,д. 11,395206
Норильск,ул. Дарвина,д. 30,798195
Петрозаводск,ул. Просторная,д. 85,976107
Гдов,ул. Фурманова,д. 20,865114
Кировск (Мурм.),ул. Фабричная,д. 86,856152
Нурлат,ул. Щорса,д. 89,844197
Мезень,ул. Володарского,д. 46,088502
Йошкар-Ола,ул. Орловская,д. 00,596503
Радужный,ул. Иванова,д. 36,003285
Оса,ул. Рязанская,д. 12,097322
Шумиха,ул. Пархоменко,д. 91,960003
Смоленск,ул. Революционная,д. 00,986815
Александров Гай,ул. Декабристов,д. 60,256028
Сызрань,ул. Заводская,д. 33,707610
Химки,ул. Шевченко,д. 87,067149
Тавда,ул. Фурманова,д. 48,294424
Черняховск,ул. Парижской Коммуны,д. 46,890851
Переславль-Залесский,ул. Волочаевская,д. 07,773046
Снежногорск (Мурм.),ул. Репина,д. 22,119558
Муравленко,ул. Аэродромная,д. 17,029938
Оха,ул. Энтузиастов,д. 48,889584
Прохладный,ул. Энтузиастов,д. 45,702048
Теберда,ул. Л.Толстого,д. 85,115387
Кимры,ул. Жданова,д. 10,535502
Кашхатау,ул. 50 лет Победы,д. 02,496806
Кижи,ул. Шолохова,д. 82,229792
Братск,ул. Кочубея,д. 67,320867
Кетченеры,ул. Ольховая,д. 81,012001
Смоленск,ул. Волочаевская,д. 86,423769
Токма,ул. Базарная,д. 30,273649
Ершов,ул. Ставропольская,д. 80,604260
Черняховск,ул. Енисейская,д. 16,206967
Терскол,ул. Ватутина,д. 46,449540
Комсомольск-на-Амуре,ул. Высоковольтная,д. 42,051595
Славянск-на-Кубани,ул. Красных Партизан,д. 20,193550
Невинномысск,ул. Ягодная,д. 87,916629
Рязань,ул. Серова,д. 40,078694
Батайск,ул. 30 лет Победы,д. 72,470706
Дно,ул. Чкалова,д. 56,974591
Горно-Алтайск,ул. Запорожская,д. 12,546736
Ухта,ул. Володарского,д. 84,235891
Сыктывкар,ул. Ленина,д. 04,361861
Кондопога,ул. Высотная,д. 59,970473
Краснокамск,ул. Волочаевская,д. 80,813955
Киров (Вятка),ул. Дальневосточная,д. 59,535566
Чегем,ул. Ягодная,д. 32,865047
Новгород Великий,ул. Энтузиастов,д. 74,362066
Мурманск,ул. Бульварная,д. 07,295574
Вологда,ул. Л.Толстого,д. 12,350480
Диксон,ул. Монтажников,д. 28,932332
Ступино,ул. Репина,д. 22,119558
Светлогорск (Калин.),ул. Песочная,д. 07,555326
Качканар,ул. Менделеева,д. 63,703422
Советский,ул. Песочная,д. 54,949783
Змеиногорск,ул. Лесозаводская,д. 22,500210
Игнашино,ул. Лесная,д. 19,116881
Мезень,ул. Московская,д. 18,454910
Истра,ул. Городская,д. 48,452134
Белый Яр (Томск.),ул. Лермонтова,д. 55,618229
Владикавказ,ул. Торговая,д. 17,910913
Волхов,ул. Бульварная,д. 21,013930
Сосьва (Хант.),ул. Докучаева,д. 17,495185
Юрьевец (Иван.),ул. Короткая,д. 71,756328
Туапсе,ул. Беляева,д. 64,411000
Ведено,ул. Сахалинская,д. 57,867657
Ербогачен,ул. Белорусская,д. 94,081974
Суздаль,ул. Депутатская,д. 57,602994
Тутончаны,ул. Вахитова,д. 26,220634
Кировск (Мурм.),ул. Сельская,д. 29,579029
Хасан,ул. Нагорная,д. 65,538794
Ряжск,ул. Балтийская,д. 87,053584
Белый Яр (Томск.),ул. Флотская,д. 28,396152
Новый Уренгой,ул. Осенняя,д. 50,888882
Нурлат,ул. Космическая,д. 00,476112
Алапаевск,ул. Мельничная,д. 19,970311
Сызрань,ул. Элеваторная,д. 48,481099
Нязепетровск,ул. Специалистов,д. 31,330813
Избербаш,ул. Гвардейская,д. 46,352152
Архангельск,ул. Микрорайон,д. 02,023053
Невельск,ул. Заозерная,д. 87,931729
Ржев,ул. Чкалова,д. 36,791989
Рубцовск,ул. Ягодная,д. 14,446448
Зеленогорск (Ленин.),ул. Кутузова,д. 82,630234
